"","Cresc.5a","DY","Div.Brut/Pat.","EBITDA","EV/EBIT","Liq.2m.","Liq.Corr.","Mrg.Liq.","P/Ativ.Circ.Liq.","P/Ativo","P/Cap.Giro","P/EBIT","P/L","P/VP","PSR","Pat.Liq","ROE","ROIC","cotacao","dateCreated","names"
"NATU3","6,81%","1,58%","4,47","13,21%","13,30","23.573.200,00","1,04","3,20%","-4,59","1,474","75,04","11,15","48,76","12,86","1,474","910.994.000,00","26,38%","19,34%","27,17",2017-02-18,"NATU3"
"NUTR3","-8,24%","0,00%","11,00","-6,12%","-7,05","985,74","0,64","-24,29%","-0,04","0,025","-0,13","-1,12","-0,28","1,84","0,068","1.134.000,00","-655,38%","-3,41%","16,32",2017-02-18,"NUTR3"
"ODPV3","9,37%","1,88%","0,00","26,54%","16,26","10.439.000,00","1,78","16,20%","-67,85","4,689","25,26","17,39","28,53","9,29","4,615","666.230.000,00","32,56%","39,41%","11,65",2017-02-18,"ODPV3"
"OFSA3","3,64%","0,87%","0,72","10,21%","30,18","204.623,00","2,39","5,87%","60,90","1,790","5,81","26,05","45,15","3,58","2,659","388.033.000,00","7,94%","7,92%","25,78",2017-02-18,"OFSA3"
"OGSA3","-69,71%","0,00%","-2,86","-113,09%","-5,53","393.112,00","0,04","-197,36%","-0,08","0,095","-0,10","-0,80","-0,46","-0,46","0,909","-470.358.000,00","100,24%","-12,51%","1,63",2017-02-18,"OGSA3"
"OGXP3","113,67%","0,00%","0,00","0,00%","0,00","264.122,00","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","4,11",2017-02-18,"OGXP3"
"OIBR3","4,19%","0,00%","5,07","8,27%","20,31","6.522.560,00","0,46","-29,82%","-0,08","0,039","-0,10","1,45","-0,43","0,33","0,120","9.506.930.000,00","-77,68%","3,30%","3,82",2017-02-18,"OIBR3"
"OIBR4","4,19%","0,00%","5,07","8,27%","20,11","17.153.900,00","0,46","-29,82%","-0,06","0,034","-0,08","1,24","-0,37","0,28","0,103","9.506.930.000,00","-77,68%","3,30%","3,28",2017-02-18,"OIBR4"
"OSXB3","-27,14%","0,00%","0,00","-67,11%","-1,23","22.932,00","0,00","-2.362,63%","0,00","0,078","0,00","-1,24","-0,04","-0,01","0,831","-3.329.360.000,00","36,03%","0,00%","13,40",2017-02-18,"OSXB3"
"PARC3","0,00%","5,98%","0,01","51,82%","11,27","6.275.110,00","2,01","37,46%","38,13","11,582","33,39","11,81","16,73","20,04","6,119","116.924.000,00","119,75%","275,03%","14,65",2017-02-18,"PARC3"
"PATI3","17,64%","1,04%","0,79","3,69%","8,86","313,60","2,33","2,16%","1,61","0,247","0,62","7,49","17,66","0,55","0,276","329.636.000,00","3,12%","5,97%","10,40",2017-02-18,"PATI3"
"PATI4","17,64%","6,60%","0,79","3,69%","13,25","196,41","2,33","2,16%","2,55","0,392","0,98","11,88","28,02","0,87","0,438","329.636.000,00","3,12%","5,97%","16,50",2017-02-18,"PATI4"
"PCAR3","9,28%","0,01%","0,94","3,93%","12,93","700,00","0,89","-2,07%","-3,11","0,698","-12,14","10,74","-68,22","2,92","0,422","10.019.000.000,00","-4,28%","9,07%","110,00",2017-02-18,"PCAR3"
"PCAR4","9,28%","0,03%","0,94","3,93%","7,95","43.225.000,00","0,89","-2,07%","-1,67","0,374","-6,50","5,75","-36,54","1,56","0,226","10.019.000.000,00","-4,28%","9,07%","58,91",2017-02-18,"PCAR4"
"PDGR3","-46,24%","0,00%","-3,33","-338,67%","-2,93","23.852.600,00","0,75","-1.612,55%","-0,04","0,022","-0,13","-0,16","-0,03","-0,17","0,530","-932.681.000,00","518,61%","-15,25%","3,29",2017-02-18,"PDGR3"
"PEAB3","10,90%","3,89%","0,00","8,12%","7,58","155,36","4,80","13,82%","2,26","0,664","1,69","16,00","9,46","0,83","1,299","481.054.000,00","8,81%","6,66%","31,20",2017-02-18,"PEAB3"
"PEAB4","10,90%","3,93%","0,00","8,12%","9,01","4.640,10","4,80","13,82%","2,46","0,724","1,84","17,44","10,31","0,91","1,416","481.054.000,00","8,81%","6,66%","34,00",2017-02-18,"PEAB4"
"PETR3","2,61%","0,00%","1,53","22,03%","8,33","119.167.000,00","1,75","-17,29%","-0,55","0,274","3,55","3,36","-4,05","0,85","0,740","259.535.000.000,00","-20,91%","9,18%","16,86",2017-02-18,"PETR3"
"PETR4","2,61%","0,00%","1,53","22,03%","8,13","490.665.000,00","1,75","-17,29%","-0,52","0,257","3,34","3,16","-3,81","0,80","0,695","259.535.000.000,00","-20,91%","9,18%","15,84",2017-02-18,"PETR4"
"PFRM3","-0,57%","0,00%","0,69","3,26%","7,98","689.077,00","1,65","-0,46%","5,71","0,272","1,00","4,88","-34,87","0,77","0,159","797.602.000,00","-2,21%","8,08%","9,47",2017-02-18,"PFRM3"
"PINE4","-47,14%","5,33%","0,00","0,00%","0,00","122.495,00","0,00","0,00%","0,00","0,000","0,00","0,00","96,55","0,44","0,000","1.151.980.000,00","0,46%","0,00%","4,18",2017-02-18,"PINE4"
"PLAS3","-20,76%","0,00%","-2,66","-31,18%","-3,04","10.031,80","0,15","-82,38%","-0,03","0,035","-0,04","-0,18","-0,07","-0,17","0,057","-123.191.000,00","245,61%","-20,55%","4,21",2017-02-18,"PLAS3"
"PMAM3","7,18%","6,06%","4,81","5,63%","5,80","3.466.490,00","0,82","2,11%","-0,28","0,107","-0,95","1,32","3,52","1,11","0,074","360.610.000,00","31,40%","9,57%","1,25",2017-02-18,"PMAM3"
"PNVL3","8,88%","0,80%","0,26","-1,62%","-89,97","673.311,00","1,69","2,51%","20,26","3,910","13,63","-87,35","56,32","7,96","1,413","372.042.000,00","14,13%","-5,92%","649,25",2017-02-18,"PNVL3"
"PNVL4","8,88%","2,21%","0,26","-1,62%","-34,74","53.097,10","1,69","2,51%","7,45","1,438","5,01","-32,12","20,71","2,93","0,519","372.042.000,00","14,13%","-5,92%","238,75",2017-02-18,"PNVL4"
"POMO3","-9,75%","5,27%","1,25","2,94%","41,33","526.479,00","1,89","9,45%","38,01","0,436","1,46","30,17","9,49","1,18","0,888","1.912.430.000,00","12,43%","2,22%","2,44",2017-02-18,"POMO3"
"POMO4","-9,75%","4,18%","1,25","2,94%","49,24","7.110.780,00","1,89","9,45%","47,98","0,551","1,84","38,08","11,98","1,49","1,120","1.912.430.000,00","12,43%","2,22%","3,08",2017-02-18,"POMO4"
"POSI3","-5,01%","0,00%","1,10","2,07%","13,41","1.411.840,00","1,33","-2,45%","1,98","0,193","1,00","8,99","-7,61","0,61","0,186","565.593.000,00","-8,01%","3,86%","3,93",2017-02-18,"POSI3"
"PRBC4","8,01%","32,33%","0,00","0,00%","0,00","40.656,40","0,00","0,00%","0,00","0,000","0,00","0,00","7,99","0,70","0,000","1.439.990.000,00","8,77%","0,00%","12,24",2017-02-18,"PRBC4"
"PRIO3","227,86%","0,00%","0,04","-28,65%","0,23","1.057.310,00","13,44","43,96%","0,87","0,437","0,65","-5,39","3,51","0,56","1,544","847.552.000,00","15,95%","-16,76%","36,00",2017-02-18,"PRIO3"
"PRML3","68,30%","0,00%","1,23","451,90%","-21,73","1.314.480,00","2,96","271,60%","-0,90","0,386","4,61","-10,57","-16,81","0,93","-47,765","3.324.790.000,00","-5,53%","-4,10%","8,22",2017-02-18,"PRML3"
"PSSA3","4,38%","4,74%","0,00","78,97%","-0,06","12.431.600,00","1,34","5,65%","11,63","0,358","1,88","0,71","9,90","1,30","0,562","6.999.070.000,00","13,08%","82,07%","28,04",2017-02-18,"PSSA3"
"PTBL3","12,32%","1,66%","2,65","8,50%","10,49","1.213.830,00","1,50","0,90%","-0,94","0,329","2,12","5,01","47,61","1,82","0,426","241.304.000,00","3,82%","8,34%","2,77",2017-02-18,"PTBL3"
"PTNT3","52,09%","2,19%","0,84","4,87%","16,04","880,31","1,35","4,08%","-6,93","0,680","5,75","12,27","32,70","1,83","0,597","149.667.000,00","5,60%","6,84%","5,70",2017-02-18,"PTNT3"
"PTNT4","52,09%","5,16%","0,84","4,87%","8,98","183.915,00","1,35","4,08%","-2,94","0,289","2,44","5,21","13,88","0,78","0,254","149.667.000,00","5,60%","6,84%","2,42",2017-02-18,"PTNT4"
"QGEP3","3,55%","2,39%","0,13","39,42%","4,90","3.066.950,00","8,00","-11,40%","2,65","0,490","1,46","8,37","-28,93","0,61","3,298","2.726.990.000,00","-2,12%","8,75%","6,28",2017-02-18,"QGEP3"
"QUAL3","22,31%","8,36%","0,24","29,73%","9,85","28.406.500,00","0,87","21,09%","-11,93","1,523","-37,23","9,85","14,43","2,51","2,927","2.229.250.000,00","17,42%","19,42%","20,10",2017-02-18,"QUAL3"
"RADL3","20,46%","0,90%","0,13","6,36%","32,34","59.419.300,00","1,57","4,11%","32,32","4,098","19,04","32,19","49,72","7,75","2,046","2.812.470.000,00","15,59%","18,11%","65,99",2017-02-18,"RADL3"
"RANI3","13,36%","0,00%","2,06","8,50%","18,00","2.985,33","1,17","-2,90%","-0,60","0,275","6,95","7,07","-20,68","1,03","0,601","452.270.000,00","-4,99%","4,64%","2,80",2017-02-18,"RANI3"
"RANI4","13,36%","0,00%","2,06","8,50%","18,00","232,74","1,17","-2,90%","-0,60","0,275","6,95","7,07","-20,68","1,03","0,601","452.270.000,00","-4,99%","4,64%","2,80",2017-02-18,"RANI4"
"RAPT3","-6,93%","0,00%","1,55","2,35%","26,54","11.783,60","2,58","0,39%","16,05","0,234","0,63","16,90","-28,12","0,76","0,397","1.466.030.000,00","-2,71%","2,23%","3,23",2017-02-18,"RAPT3"
"RAPT4","-6,93%","0,00%","1,55","2,35%","34,70","7.317.880,00","2,58","0,39%","23,79","0,347","0,93","25,06","-41,70","1,13","0,588","1.466.030.000,00","-2,71%","2,23%","4,79",2017-02-18,"RAPT4"
"RCSL4","-51,38%","0,00%","-0,16","-144,26%","-70,69","309.533,00","0,01","-2.889,53%","-0,32","1,255","-0,58","-51,76","-2,59","-0,43","74,673","-103.982.000,00","16,44%","-2,90%","1,16",2017-02-18,"RCSL4"
"RDNI3","-25,16%","0,00%","0,00","5,88%","33,43","51.399,60","0,00","7,04%","0,00","0,283","0,00","23,48","19,61","0,40","1,380","767.557.000,00","2,04%","0,00%","7,00",2017-02-18,"RDNI3"
"REDE3","3,78%","1,96%","1,63","6,81%","14,65","3.485,43","1,18","2,90%","-0,80","0,381","9,33","9,33","27,32","2,06","0,635","2.472.880.000,00","7,55%","4,75%","2,48",2017-02-18,"REDE3"
"REDE4","3,78%","2,18%","1,63","6,81%","14,54","2.940,52","1,18","2,90%","-0,80","0,376","9,22","9,21","26,99","2,04","0,627","2.472.880.000,00","7,55%","4,75%","2,45",2017-02-18,"REDE4"
"RENT3","8,21%","2,24%","1,72","17,25%","14,00","48.726.900,00","1,22","9,22%","-2,90","1,163","21,51","11,26","21,08","3,93","1,943","2.196.990.000,00","18,63%","15,91%","40,73",2017-02-18,"RENT3"
"RLOG3","72,87%","4.327,62%","4,85","23,79%","8,38","1.774.300,00","0,78","-8,34%","-0,17","0,107","-3,55","1,97","-17,51","1,48","0,469","1.661.350.000,00","-8,48%","5,54%","6,73",2017-02-18,"RLOG3"
"RNEW11","72,24%","0,00%","1,19","2,24%","234,26","280.623,00","0,09","-80,33%","-0,21","0,123","-0,50","49,66","-1,65","0,31","1,111","2.330.190.000,00","-19,01%","0,27%","6,09",2017-02-18,"RNEW11"
"ROMI3","-1,95%","0,72%","0,55","-7,70%","-9,40","290.538,00","2,14","-6,72%","1,55","0,200","0,65","-4,80","-5,46","0,36","0,369","599.962.000,00","-6,62%","-4,87%","3,45",2017-02-18,"ROMI3"
"RPAD3","-75,78%","12,03%","0,00","0,00%","0,00","1.107,83","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","2,50",2017-02-18,"RPAD3"
"RPAD5","-75,78%","3,15%","0,00","0,00%","0,00","5.889,67","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","4,70",2017-02-18,"RPAD5"
"RPAD6","-75,78%","5,45%","0,00","0,00%","0,00","702,79","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","2,72",2017-02-18,"RPAD6"
